Publicações,a,b,c,d,e,f,g,h,i,j,k,l,m,n
17/12/2020,,Sim,Sim,,,Sim,,Sim,,,,,,
17/12/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
20/12/2020,,Sim,,Sim,,,,Sim,,,,,,
22/12/2020,,Sim,,,,Sim,,Sim,,,,Sim,,
23/12/2020,,Sim,,Sim,,,,Sim,,,,,,
24/12/2020,,Sim,,Sim,,Sim,,Sim,,,,,,
27/12/2020,,Sim,,,,Sim,,Sim,,,,,,
29/12/2020,Sim,,,Sim,,,,Sim,,,,,,
30/12/2020,Sim,,,,,Sim,,Sim,,,,Sim,,
20/01/2021,,Sim,,,,Sim,Sim,Sim,,,,,,
20/01/2021,,Sim,,Sim,,,,Sim,,,,,,
21/01/2021,Sim,,,,,Sim,,Sim,,,,,,
23/01/2021,Sim,,,,,Sim,Sim,Sim,,,,,,
28/01/2021,Sim,,,Sim,,Sim,,Sim,,,,,,
03/02/2021,Sim,,,Sim,Sim,Sim,,Sim,,,,Sim,,
06/02/2021,Sim,,,,,Sim,,Sim,,,,,,
11/02/2021,Sim,,,,,Sim,,Sim,,,,,,
23/02/2021,,Sim,,Sim,,Sim,,Sim,,,,,,
02/03/2021,,Sim,,Sim,,,,Sim,,,,,,
03/03/2021,Sim,,,,,Sim,Sim,Sim,,,,,,
05/03/2021,,Sim,,,,Sim,Sim,Sim,Sim,,,,,
07/03/2021,,Sim,,,,Sim,Sim,Sim,,,,,,
07/03/2021,,Sim,,Sim,,,,Sim,,,,,,
07/03/2021,,Sim,,Sim,,,,Sim,,,,,,
08/03/2021,Sim,,,Sim,Sim,,,Sim,,,,,Sim,
12/03/2021,,Sim,,Sim,,,,Sim,,,,,,
16/03/2021,,Sim,,,,Sim,,Sim,,,,,,
19/03/2021,,Sim,,Sim,,,,Sim,,,,,,
19/03/2021,,Sim,,,,Sim,Sim,Sim,,,,,,
